mid,movie_name,rating,votes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-fi,Sport,Thriller,War
1,"My Name Is Khan,2010",8,95823,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,"Raajneeti,2010",7.1,15985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,"Band Baaja Baaraat,2010",7.2,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,"Tere Bin Laden,2010",7.2,10018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,"Action Replayy,2010",4.2,5399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Ada... A Way of Life,2010",3.4,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,"Allah Ke Banday,2010",6.2,289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,"Anjaana Anjaani,2010",5.8,6022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,"Atithi Tum Kab Jaoge?,2010",6.4,4970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Badmaa$h Company,2010",6,6052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,"Chase,I",4.9,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,"Crook: It's Good to Be Bad,2010",5.1,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,"Dabangg,2010",6.2,26926,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Enthiran,2010",7.1,24294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Golmaal 3,2010",5.5,7095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Guzaarish,2010",7.4,16714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,"Housefull,2010",5.4,12233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Hum Tum Aur Ghost,2010",4.7,642,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,"I Am,II",6.9,852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,"Isi Life Mein...!,2010",5.7,359,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,"Ishqiya,2010",7.3,9708,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,"Jhootha Hi Sahi,2010",6.1,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,"Kajraare,2010",2.8,386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,"Karthik Calling Karthik,2010",7,10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,"Khelein Hum Jee Jaan Sey,2010",5.9,1192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,"Kites,I",6.1,12028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,"Knock Out,2010",6,1971,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,"Lafangey Parindey,2010",5.2,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,"LSD: Love, Sex Aur Dhokha,2010",7.1,5100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,"Mr. Singh/Mrs. Mehta,2010",4.2,176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,"Dhobi Ghat,2010",7,12146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,"Nakshatra,2010",5.3,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,"Once Upon a Time in Mumbaai,2010",7.4,15939,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,"Peepli [Live],2010",7.4,11503,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,"Phas Gaye Re Obama,2010",7.5,4879,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,"Prince,2010",4.2,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,"Pyaar Impossible!,2010",4.6,2903,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,"Rakhta Charitra,2010",7.6,3718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,"Rakhta Charitra 2,2010",6.4,2338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,"Rann,2010",6.9,2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,"Teen Patti,2010",4.1,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,"Toonpur Ka Superrhero,2010",4.2,673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Veer,2010",4.6,7030,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,"Aarakshan,2011",6.2,4842,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,"Ready,2011",4.7,14486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Chalo Dilli,2011",6.8,2905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,"Aadukalam,2011",8.1,4472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,"Aagaah: The Warning,2011",3.8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,"Angel,I",6.5,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,"Bbuddah... Hoga Terra Baap,2011",5.6,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,"Bin Bulaye Baraati,2011",3.9,236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,"Bodyguard,2011",4.6,21416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,"Bubble Gum,II",7.3,437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,"Chala Mussaddi - Office Office,2011",6.1,324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,"Chatur Singh Two Star,2011",1.7,562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Chillar Party,2011",7.4,6767,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,"Damadamm!,2011",4,394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
