mid,Moviename,Year,Rating,Popularity,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-fi,Sport,Thriller,War
1,My Name Is Khan,2010,8,0.662780964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Raajneeti,2010,7.1,0.110448505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Band Baaja Baaraat,2010,7.2,0.101558663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Tere Bin Laden,2010,7.2,0.069167814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Action Replayy,2010,4.2,0.03721281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ada... A Way of Life,2010,3.4,0.000172954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Allah Ke Banday,2010,6.2,0.001860986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Anjaana Anjaani,2010,5.8,0.041522826,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Atithi Tum Kab Jaoge?,2010,6.4,0.034244917,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Badmaa$h Company,2010,6,0.041730371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Chase,2015,4.9,0.000463517,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,Crook: It's Good to Be Bad,2010,5.1,0.012342006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Dabangg,2010,6.2,0.186140148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Enthiran,2010,7.1,0.167931538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Golmaal 3,2010,5.5,0.048946018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Guzaarish,2010,7.4,0.115491847,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Housefull,2010,5.4,0.084491549,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Hum Tum Aur Ghost,2010,4.7,0.004303099,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,I Am,2015,6.9,0.005755913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Isi Life Mein...!,2010,5.7,0.002345258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Ishqiya,2010,7.3,0.067023183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Jhootha Hi Sahi,2010,6.1,0.012162134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Kajraare,2010,2.8,0.002532048,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Karthik Calling Karthik,2010,7,0.069804285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Khelein Hum Jee Jaan Sey,2010,5.9,0.008108089,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Kites,2015,6.1,0.083073326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Knock Out,2010,6,0.01349734,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Lafangey Parindey,2010,5.2,0.013386649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,LSD: Love,2015,7.1,0.035144278,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,Mr. Singh/Mrs. Mehta,2010,4.2,0.001079234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Dhobi Ghat,2010,7,0.083889669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Nakshatra,2010,5.3,0.000235218,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Once Upon a Time in Mumbaai,2010,7.4,0.110130269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Peepli [Live],2010,7.4,0.079441289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Phas Gaye Re Obama,2010,7.5,0.033615364,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Prince,2010,4.2,0.012577224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,Pyaar Impossible!,2010,4.6,0.01994507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Rakhta Charitra,2010,7.6,0.025583374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Rakhta Charitra 2,2010,6.4,0.016036307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Rann,2010,6.9,0.015863352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,Teen Patti,2010,4.1,0.009450213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,Toonpur Ka Superrhero,2010,4.2,0.004517562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Veer,2010,4.6,0.048496337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Aarakshan,2011,6.2,0.033359392,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,Ready,2011,4.7,0.100078175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Chalo Dilli,2011,6.8,0.019958906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,Aadukalam,2011,8.1,0.030799671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,Aagaah: The Warning,2011,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
